TimeUS,time_s,instance,lat_deg,lon_deg,alt_m,speed_mps,vz_mps,status,nsats,hdop,seg_m,cum_dist_m,gps_dt_s,east_m,north_m,up_m
82414434,31.599808,0,-35.3690031,149.1651993,1134.59,45.926002502441406,12.731000900268555,6,10,1.21,9.187278579708725,638.0758293750308,0.19993299999999792,-3.463008311437825,-636.7513949005188,549.7081135765039
82614367,31.799741,0,-35.3690856,149.1651967,1131.91,45.8910026550293,14.04800033569336,6,10,1.21,9.176610179057766,647.2524395540886,0.19993300000000147,-3.6993237742979765,-645.9059125958323,547.027190009798
82814299,31.999673,0,-35.369168,149.1651939,1128.97,45.880001068115234,15.321001052856445,6,10,1.21,9.165978728830586,656.4184182829192,0.19993200000000044,-3.9538168702010594,-655.0492992178184,544.0862543871075
83014232,32.199606,0,-35.3692504,149.165191,1125.78,45.88300323486328,16.59000015258789,6,10,1.21,9.166234351477566,665.5846526343968,0.19993300000000147,-4.217398267340386,-664.1926514002654,540.895305600575
83214165,32.399539,0,-35.3693327,149.165188,1122.34,45.915000915527344,17.81100082397461,6,10,1.21,9.155384347143137,674.7400369815399,0.19993299999999437,-4.490067902295664,-673.3248713748504,537.4543448241274
83414098,32.599472,0,-35.3694152,149.1651853,1118.63,45.762001037597656,19.446001052856445,6,10,1.21,9.17684756983247,683.9168845513724,0.19993300000000147,-4.73546890348813,-682.4792459774005,533.7433685591093
83614031,32.799405,0,-35.3694971,149.1651829,1114.54,45.454002380371094,21.374000549316406,6,10,1.21,9.109464123610268,693.0263486749826,0.19993300000000147,-4.953601329880767,-691.5669885879912,529.6523863686427
83813963,32.999337,0,-35.3695787,149.1651804,1110.08,45.19600296020508,23.07000160217285,6,10,1.21,9.076337122762313,702.1026857977449,0.1999319999999969,-5.18082191587721,-700.6213888452899,525.1913948451378
84014896,33.20027,0,-35.3696597,149.1651781,1105.27,44.750003814697266,24.944000244140625,6,10,1.21,9.009203106793397,711.1118889045383,0.20093300000000625,-5.38986318025972,-709.6091574573596,520.3803978672671
84214829,33.400203,0,-35.3697397,149.1651757,1100.12,44.422000885009766,26.567001342773438,6,10,1.21,8.898255470229204,720.0101443747675,0.19993299999999437,-5.607992612533429,-718.4859076105605,515.2294007128045
84414762,33.600136,0,-35.3698191,149.1651735,1094.63,43.98800277709961,28.334001541137695,6,10,1.21,8.831130383763764,728.8412747585312,0.19993300000000147,-5.807942768455867,-727.2960247152251,509.738398792549
84614694,33.800068,0,-35.3698978,149.1651712,1088.79,43.63100051879883,30.023000717163086,6,10,1.21,8.753525290560844,737.5948000490921,0.199932000000004,-6.016981011775645,-736.0284097494808,503.89739364576377
84814627,34.000001,0,-35.3699759,149.1651688,1082.62,43.285003662109375,31.69300079345703,6,10,1.21,8.687049818994142,746.2818498680863,0.19993299999999437,-6.235107265594378,-744.6941604538061,497.72638429020634
85014560,34.199934,0,-35.3700533,149.1651666,1076.1,42.9170036315918,33.432003021240234,6,10,1.21,8.608798723164098,754.8906485912504,0.19993300000000147,-6.435054261247707,-753.2821766641154,491.20537233923096
85214493,34.399867,0,-35.3701302,149.1651642,1069.26,42.61900329589844,35.06300354003906,6,10,1.21,8.553658421162654,763.4443070124131,0.19993300000000147,-6.653178256931858,-761.8146540256351,484.36435541325113
85414426,34.5998,0,-35.3702064,149.165162,1062.07,42.2660026550293,36.784000396728516,6,10,1.21,8.475401192248144,771.9197082046612,0.19993300000000147,-6.853123007693732,-770.269394583195,477.1733364633811
85614358,34.799732,0,-35.370282,149.1651598,1054.55,41.96900177001953,38.4170036315918,6,10,1.21,8.408702860561549,780.3284110652228,0.1999319999999969,-7.053066622181628,-778.6574962433332,469.6523144206315
85814291,34.999665,0,-35.3703571,149.1651575,1046.69,41.64500045776367,40.08700180053711,6,10,1.21,8.353342589021992,788.6817536542447,0.19993300000000147,-7.262098037680676,-786.9900532629144,461.7912881660092
86014224,35.199598,0,-35.3704316,149.1651552,1038.51,41.323001861572266,41.724002838134766,6,10,1.21,8.28664659151065,796.9684002457554,0.19993300000000147,-7.471128229659207,-795.2559704590155,453.6102593125379
86214157,35.399531,0,-35.3705055,149.1651531,1030.01,41.027000427246094,43.329002380371094,6,10,1.21,8.219510848549211,805.1879110943047,0.19993300000000147,-7.661979285484314,-803.455246818051,445.10922814509155
86414090,35.599464,0,-35.3705789,149.1651509,1021.18,40.66400146484375,44.95600128173828,6,10,1.21,8.164144909667872,813.3520560039726,0.19993299999999437,-7.861918052583327,-811.5989766340979,436.27819347212835
86614022,35.799396,0,-35.3706517,149.1651486,1012.03,40.3900032043457,46.49700164794922,6,10,1.21,8.097676468873939,821.4497324728466,0.199932000000004,-8.07094445884131,-819.6760636542805,427.1271569376793
86813955,35.999329,0,-35.370724,149.1651465,1002.54,39.992000579833984,48.10300064086914,6,10,1.21,8.041647754246677,829.4913802270933,0.19993300000000147,-8.261791746743498,-827.6976008022823,417.6361173853562
87014888,36.200262,0,-35.3707959,149.1651443,992.75,39.71800231933594,49.61000061035156,6,10,1.21,7.997403338203404,837.4887835652967,0.20093299999999914,-8.461726625187382,-835.6746887906576,407.845073530044
87214820,36.400194,0,-35.3708668,149.1651422,982.67,39.34600067138672,51.14400100708008,6,10,1.21,7.886019355860662,845.3748029211573,0.1999319999999969,-8.652571414708504,-843.540749285205,397.7640343987583
87414753,36.600127,0,-35.3709372,149.1651401,972.3,38.996002197265625,52.669002532958984,6,10,1.21,7.830438210561004,853.2052411317184,0.19993300000000147,-8.843414922181381,-851.3512639164567,387.39299296129485
87614686,36.80006,0,-35.371007,149.1651379,961.61,38.742000579833984,54.079002380371094,6,10,1.21,7.76396881253237,860.9692099442508,0.19993300000000147,-9.043345881805422,-859.095131424155,376.70195091102784
87814619,36.999993,0,-35.3710762,149.1651359,950.64,38.23200225830078,55.6670036315918,6,10,1.21,7.696825467086079,868.6660354113369,0.19993300000000147,-9.225097958546101,-866.7723563970228,365.73090852703456
88014552,37.199926,0,-35.3711447,149.1651337,939.38,38.121002197265625,56.95500183105469,6,10,1.21,7.6194640229474695,876.2854994342844,0.19993299999999437,-9.42502623717175,-874.3718404492695,354.46986752884396
88214484,37.399858,0,-35.3712126,149.1651317,927.82,37.547000885009766,58.52300262451172,6,10,1.21,7.552312949495156,883.8378123837795,0.199932000000004,-9.606775657369383,-881.9046778816094,342.90882670429744
88414417,37.599791,0,-35.37128,149.1651296,916.0,37.329002380371094,59.858001708984375,6,10,1.21,7.496956435807098,891.3347688195865,0.19993300000000147,-9.797612470799734,-889.3819699503026,331.0877846997485
88614350,37.799724,0,-35.3713465,149.1651274,903.87,37.053001403808594,61.18700408935547,6,10,1.21,7.397152669936142,898.7319214895227,0.19993299999999437,-9.997536556149882,-896.759323728345,318.95674797146995
88814283,37.999657,0,-35.3714127,149.1651256,891.49,36.422000885009766,62.72300338745117,6,10,1.21,7.362913184295465,906.0948346738182,0.19993300000000147,-10.161104612292874,-904.1033249544698,306.57570747179085
89014216,38.19959,0,-35.3714782,149.1651233,878.83,36.43600082397461,63.86000442504883,6,10,1.21,7.286252659980919,913.3810873337992,0.19993300000000147,-10.370114500773923,-911.3695836544781,293.9146695486186
89214148,38.399522,0,-35.3715428,149.1651215,865.9,35.88500213623047,65.28600311279297,6,10,1.21,7.185046089811303,920.5661334236105,0.1999319999999969,-10.533679926415175,-918.5359081711426,280.9836378189026
89414081,38.599455,0,-35.3716072,149.1651196,852.73,35.380001068115234,66.6780014038086,6,10,1.21,7.163025186570725,927.7291586101812,0.19993300000000147,-10.706332617978035,-925.6799762194544,267.8126012297138
89614014,38.799388,0,-35.3716706,149.1651174,839.28,35.461002349853516,67.7300033569336,6,10,1.21,7.052579855111665,934.7817384652928,0.19993300000000147,-10.906249606144655,-932.7130116470246,254.36157284185617
89814946,39.00032,0,-35.3717336,149.1651157,825.53,34.77300262451172,69.15800476074219,6,10,1.21,7.006975949102112,941.7887144143949,0.20093200000000166,-11.060722397931585,-939.7015882640967,240.61054331005
90014879,39.200253,0,-35.3717963,149.1651138,811.56,34.281002044677734,70.47500610351562,6,10,1.21,6.974049960417223,948.7627643748121,0.19993299999999437,-11.233370915905425,-946.6568135128441,226.6395110205611
90214812,39.400186,0,-35.3718578,149.1651116,797.37,34.43600082397461,71.44800567626953,6,10,1.21,6.841396612489956,955.6041609873021,0.19993300000000147,-11.433283569578748,-953.4788217178561,212.44849104263722
90414745,39.600119,0,-35.3719187,149.1651099,782.92,33.79800033569336,72.77400207519531,6,10,1.21,6.773525048181242,962.3776860354833,0.19993300000000147,-11.587752475812636,-960.2341835637842,197.99747387754832
90614678,39.800052,0,-35.3719793,149.1651082,768.25,33.10000228881836,74.11100006103516,6,10,1.21,6.740175248575926,969.1178612840592,0.19993300000000147,-11.742220092176325,-966.9561930568129,183.32645459865284
